timestamp,question,yes_bid,yes_ask,spread,volume,age_hours,llm_score,llm_recommendation,llm_confidence,llm_edge,llm_reasoning,url
2025-12-21T21:55:14.187540,Will AC Milan win on 2025-12-28?,0.690,0.720,0.030,6507,166.9,,,,,,https://polymarket.com/event/sea-mil-ver-2025-12-28-mil
2025-12-21T21:55:14.187843,Russia strike on Kyiv municipality by December 31?,0.570,0.650,0.080,5756,160.0,,,,,,https://polymarket.com/event/russia-strike-on-kyiv-municipality-by-december-31
2025-12-21T21:55:14.188137,Will XRP reach $2.00 December 15-21?,0.001,0.089,0.088,9574,157.0,,,,,,https://polymarket.com/event/will-xrp-reach-2-december-15-21
2025-12-21T21:55:14.188298,Norfolk State Spartans vs. UTEP Miners,0.490,0.510,0.020,9353,156.9,,,,,,https://polymarket.com/event/cbb-norfst-utep-2025-12-21
2025-12-21T21:55:14.188394,Tesla launches unsupervised full self driving (FSD) by March 31?,0.780,0.830,0.050,27696,156.9,,,,,,https://polymarket.com/event/tesla-launches-unsupervised-full-self-driving-fsd-by-march-31
2025-12-21T21:55:14.188727,"Will the price of Bitcoin be between $84,000 and $86,000 on December 22?",0.040,0.070,0.030,6206,154.9,,,,,,https://polymarket.com/event/will-the-price-of-bitcoin-be-between-84000-86000-on-december-22
2025-12-21T21:55:14.188848,"Will the price of Bitcoin be between $86,000 and $88,000 on December 22?",0.260,0.300,0.040,32560,154.9,,,,,,https://polymarket.com/event/will-the-price-of-bitcoin-be-between-86000-88000-on-december-22
2025-12-21T21:55:14.188931,"Will the price of Bitcoin be between $88,000 and $90,000 on December 22?",0.450,0.470,0.020,12859,154.9,,,,,,https://polymarket.com/event/will-the-price-of-bitcoin-be-between-88000-90000-on-december-22
2025-12-21T21:55:14.189076,"Will the price of Ethereum be above $2,900 on December 22?",0.900,0.930,0.030,21713,154.9,,,,,,https://polymarket.com/event/ethereum-above-2900-on-december-22
2025-12-21T21:55:14.189151,"Will the price of Ethereum be above $3,000 on December 22?",0.610,0.640,0.030,10852,154.9,,,,,,https://polymarket.com/event/ethereum-above-3000-on-december-22
2025-12-21T21:55:14.189216,"Will the price of Bitcoin be between $90,000 and $92,000 on December 22?",0.170,0.210,0.040,29896,154.9,,,,,,https://polymarket.com/event/will-the-price-of-bitcoin-be-between-90000-92000-on-december-22
